,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
5742,98.85614,714.7535,99.0,112.0,-0.062084917,2.655058,0.011447333,4.658206,22.0,199.0,0.10065004,65.0,79.0,116.0,133.0,68.0,0
4615,156.3352,945.98773,158.0,182.0,-0.44792855,2.582637,0.009775267,4.752678,41.0,220.0,0.08040291,114.0,134.0,181.0,194.0,80.0,1
4021,164.15398,1060.6145,162.0,169.0,0.06116279,2.2740316,0.008862595,4.829479,82.0,248.0,0.077536486,121.0,138.0,188.0,208.0,87.0,1
2605,56.444725,997.5799,56.0,14.0,0.20230009,1.807302,0.013488135,4.5614657,4.0,146.0,0.13257775,18.0,24.0,83.0,99.0,81.0,0
98,165.7492,160.39635,165.0,168.0,0.04561383,3.0487268,0.024110682,3.9116464,125.0,213.0,0.077498004,149.0,157.0,173.0,181.0,32.0,1
421,144.9248,290.18787,145.0,144.0,0.015083981,2.8621428,0.017184194,4.217181,88.0,230.0,0.08308857,122.0,132.0,156.0,166.0,44.0,1
5418,113.17555,265.99982,111.0,112.0,0.52419573,2.8756924,0.019498846,4.118761,75.0,175.0,0.09309125,93.0,100.0,123.0,136.0,43.0,0
585,133.7039,4114.5166,155.0,4.0,-0.7054477,2.2417064,0.010985581,5.0422583,4.0,232.0,0.09311546,24.0,87.0,186.0,199.0,175.0,1
333,112.86801,898.8719,114.0,114.0,-0.7975415,4.304943,0.011110083,4.7224145,3.0,199.0,0.09459791,77.0,96.0,133.0,148.0,71.0,1
1805,102.43289,243.6024,101.0,112.0,0.29356337,3.2524683,0.020110255,4.118998,50.0,164.0,0.0981118,83.0,91.0,112.0,122.0,39.0,0
3579,104.072365,158.57172,102.0,112.0,0.5540868,3.4285688,0.02512184,3.8775976,72.0,171.0,0.097043104,89.0,94.0,112.0,120.0,31.0,0
94,142.3677,544.6573,138.0,114.0,0.46516106,3.033886,0.0132821435,4.4915442,67.0,239.0,0.08251408,114.0,125.0,157.0,175.0,61.0,1
5183,181.46254,664.68164,188.0,200.0,-0.95494276,3.1484869,0.014487144,4.4526587,87.0,224.0,0.075559996,141.0,165.0,200.0,208.0,67.0,0
3474,139.76402,518.47723,139.0,114.0,-0.026548494,2.3737955,0.01277181,4.4907184,67.0,217.0,0.08435523,110.0,122.0,156.0,169.0,59.0,0
2541,144.54947,373.4939,143.0,139.0,0.46090278,3.275967,0.015899517,4.316441,93.0,218.0,0.08272781,121.0,130.0,155.0,168.0,47.0,0
2058,27.176695,141.38187,23.0,21.0,1.6469245,4.2658434,0.19071959,2.3843772,13.0,76.0,0.17646854,19.0,21.0,23.0,50.0,31.0,0
4895,100.63309,136.4668,99.0,90.0,0.5521053,3.6056886,0.02685078,3.8137693,68.0,156.0,0.098872796,87.0,92.0,107.0,115.0,28.0,0
2503,109.47543,232.38574,109.0,112.0,0.21356271,3.2104142,0.021868773,4.0768824,66.0,166.0,0.09536666,90.0,99.0,118.0,128.0,38.0,0
3394,120.04441,242.55133,117.0,112.0,0.39011848,2.97493,0.02118942,4.0881443,74.0,198.0,0.09010544,101.0,109.0,129.0,141.0,40.0,1
4078,136.43298,1155.9503,127.0,114.0,0.8660098,3.0101118,0.011254651,4.7319026,68.0,234.0,0.08260046,100.0,112.0,153.0,190.0,90.0,0
3476,66.04843,4306.137,36.0,23.0,1.6712587,4.438454,0.030079711,4.444554,14.0,248.0,0.09084243,21.0,23.0,71.0,198.0,177.0,0
1949,163.16699,1000.65686,162.0,156.0,-0.36327648,2.768388,0.009470655,4.7976317,52.0,234.0,0.07800549,122.0,141.0,186.0,204.0,82.0,1
1248,149.9057,354.3432,151.0,159.0,-0.45457265,2.9876614,0.016049888,4.304383,79.0,202.0,0.081972905,123.0,138.0,162.0,173.0,50.0,0
4580,22.028791,920.294,7.0,4.0,1.8408458,5.4111733,0.26211777,2.698978,3.0,163.0,0.120104246,4.0,4.0,25.0,74.0,70.0,0
923,134.72034,2491.8066,156.0,176.0,-0.61445713,1.9475563,0.009191874,4.9519753,6.0,216.0,0.09271055,62.0,85.0,175.0,185.0,123.0,1
2349,79.42118,1966.1498,83.0,4.0,0.05972184,2.111344,0.008144135,4.993678,3.0,193.0,0.11471038,18.0,43.0,111.0,138.0,120.0,0
2066,89.030685,114.98282,87.0,90.0,0.9734972,4.3299747,0.032601852,3.6704054,63.0,172.0,0.104765885,77.0,81.0,94.0,104.0,27.0,0
4099,133.46829,175.81766,132.0,129.0,0.24751477,2.649989,0.022220274,3.9472494,97.0,185.0,0.0860813,116.0,123.0,141.0,151.0,35.0,0
