,LTE_LL_5,LTE_EE_5,LTE_SS_5,LTE_LE_5,LTE_ES_5,LTE_LS_5,Label
3463,3669.1416,58.683014,18.495354,267.64478,31.553492,112.08576,1
1448,4420.292,71.76885,25.214169,313.74704,41.212048,141.0273,0
3181,6443.079,42.481365,16.314177,173.95186,25.568953,84.416115,0
4838,5699.6533,60.01139,22.119392,245.34865,35.691895,120.26587,0
2122,8416.697,59.414448,18.734491,305.67374,31.917852,115.39463,0
382,5526.674,78.71801,26.624931,393.98218,43.212463,156.17769,1
266,6838.482,72.10522,22.730532,368.5323,38.575706,138.9871,1
1199,7548.652,56.122192,20.898474,252.19171,33.17283,110.1538,1
3498,3272.9863,41.905178,14.34053,180.41588,23.615936,81.99029,0
2161,4158.323,88.80925,29.79231,407.58206,48.899475,169.15915,1
1190,4666.486,44.31818,17.508606,174.03381,27.190311,87.15297,0
5045,2294.0845,68.54488,23.972221,275.73016,39.55133,138.47263,0
4834,4650.888,76.60608,25.841036,361.45053,42.227097,148.36725,1
5235,3271.6619,68.04193,24.330387,312.66577,39.075653,136.53773,1
1319,5952.9146,65.15005,23.195393,299.22827,37.710865,128.84186,0
2846,2266.2073,50.789,18.273052,214.35324,29.541922,102.20641,0
5983,2720.3596,45.91969,17.673346,185.52403,27.86728,95.05476,0
438,10912.942,66.63424,22.53199,322.20813,36.977577,128.67662,1
1907,4905.337,35.73962,15.669169,137.4065,23.281525,73.43932,0
3765,1758.8065,14.312176,6.838294,47.18578,9.790386,29.131098,0
526,5343.771,66.935684,24.3736,298.19717,38.89488,132.54956,1
861,9066.459,30.984922,10.174795,173.77014,16.789352,63.86718,0
3167,11406.417,37.718025,12.079945,215.87727,20.108173,72.95605,0
678,8923.316,58.489105,20.701628,288.20596,33.239,115.5304,1
4127,4983.118,66.34199,22.223064,304.34833,36.445652,126.745056,0
1304,4540.037,51.860874,19.325499,205.88385,30.983517,106.21147,0
1817,3374.0347,52.35737,17.661144,234.11212,29.426254,106.8085,0
5535,6215.77,38.877827,16.365364,163.95155,24.80799,77.52865,0
126,4700.2256,69.47948,22.853273,344.09323,37.691566,135.4638,1
4355,6431.978,56.685535,20.065042,272.5318,32.164165,110.036095,1
